,id,question,option_a,option_b,option_c,option_d,correct_option
0,OIC-009-09-B-,Quelle est la définition de la recherche en santé selon le contenu éducatif?,"Toutes les études visant le développement des connaissances biologiques ou médicales, pour étendre la connaissance scientifique de l’humain et développer des actions susceptibles d’améliorer la santé.","Toutes les études visant le développement des connaissances biologiques ou médicales, pour étendre la connaissance scientifique de l’humain et développer des actions susceptibles d’améliorer la santé, mais sans préciser l’organisation en France.","Toutes les études visant le développement des connaissances biologiques ou médicales, pour étendre la connaissance scientifique de l’humain et développer des actions susceptibles d’améliorer la santé, mais sans préciser l’organisation en France et sans utiliser le mot 'développement'","Toutes les études visant le développement des connaissances biologiques ou médicales, pour étendre la connaissance scientifique de l’humain et développer des actions susceptibles d’améliorer la santé, mais sans préciser l’organisation en France et sans utiliser le mot 'développement' et sans utiliser le mot 'humain'",a
1,OIC-009-10-B,Qu'est-ce que le protocole dans le domaine de la recherche clinique?,Un document écrit en amont du démarrage d'une étude et décrivant très précisément ces différents éléments et étapes (c’est-à-dire décrivant très précisément la méthodologie de la recherche à mener).,Un document écrit en cours d'étude et décrivant très précisément ces différents éléments et étapes (c’est-à-dire décrivant très précisément la méthodologie de la recherche à mener).,"Un document écrit en amont du démarrage d'une étude et décrivant très précisément ces différents éléments et étapes (c’est-à-dire décrivant très précisément la méthodologie de la recherche à mener), mais qui peut être modifié en cours d'étude.","Un document écrit en amont du démarrage d'une étude et décrivant très précisément ces différents éléments et étapes (c’est-à-dire décrivant très précisément la méthodologie de la recherche à mener), mais qui ne peut pas être modifié en cours d'étude.",a
2,OIC-009-17-A-,Quelle est la différence entre la population cible et la population source?,"La population cible est celle à laquelle on souhaite extrapoler les résultats de l'étude, tandis que la population source est celle à partir de laquelle l'étude se déroule.","La population cible est celle à laquelle on souhaite adapter sa prise en charge, tandis que la population source est celle à partir de laquelle l'étude se déroule.","La population cible est celle à laquelle on souhaite adapter sa prise en charge, tandis que la population source est celle à laquelle on souhaite extrapoler les résultats de l'étude.","La population cible est celle à laquelle on souhaite adapter sa prise en charge, tandis que la population source est celle à partir de laquelle l'étude se déroule.",a
3,OIC-020-30-A-,Quelles sont les principales causes de grossesses non désirées?,L'absence de contraception,L'absence d'information sur les démarches à suivre en cas d'oubli d'un comprimé ou en cas d'un « accident » de préservatif,Un changement récent de méthode avec un non respect des règles de changement,Une méthode non adaptée / non efficace,a
4,OIC-027-02-B-,Quelle est la caractéristique principale de la scoliose de l'enfant?,Une déformation de la colonne dans les 3 plans,Une déformation de la colonne dans les 2 plans,Une déformation de la colonne dans les 4 plans,Une déformation de la colonne dans les 5 plans,a
5,OIC-027-19-B,Quelle est la définition du retard pubertaire chez une fille?,Absence de développement mammaire après l'âge de 12 ans,Absence de développement mammaire après l'âge de 13 ans,Absence de développement mammaire après l'âge de 14 ans,Absence de développement mammaire après l'âge de 15 ans,b
6,OIC-027-19-B-,Quelles sont les données de l'interrogatoire qui peuvent aider à diagnostiquer un retard pubertaire?,"Âges pubertaires des parents et de la fratrie, âge de la ménarche de la mère, tailles parentales avec calcul de la taille cible génétique, antécédent familial d'infertilité, de trouble de l'odorat (anosmie), antécédent personnel de maladie chronique, de cryptorchidie ou micropénis (reflet de l'expression congénitale), signes visuels ou signes d'HTIC, ralentissement/cassure staturale (courbe), anosmie, signes digestifs.","Âges pubertaires des parents et de la fratrie, âge de la ménarche de la mère, tailles parentales avec calcul de la taille cible génétique, antécédent familial d'infertilité, de trouble de l'odorat (anosmie), antécédent personnel de maladie chronique, de cryptorchidie ou micropénis (reflet de l'expression congénitale), signes visuels ou signes d'HTIC, ralentissement/cassure staturale (courbe), anosmie, signes digestifs.","Âges pubertaires des parents et de la fratrie, âge de la ménarche de la mère, tailles parentales avec calcul de la taille cible génétique, antécédent familial d'infertilité, de trouble de l'odorat (anosmie), antécédent personnel de maladie chronique, de cryptorchidie ou micropénis (reflet de l'expression congénitale), signes visuels ou signes d'HTIC, ralentissement/cassure staturale (courbe), anosmie, signes digestifs.","Âges pubertaires des parents et de la fratrie, âge de la ménarche de la mère, tailles parentales avec calcul de la taille cible génétique, antécédent familial d'infertilité, de trouble de l'odorat (anosmie), antécédent personnel de maladie chronique, de cryptorchidie ou micropénis (reflet de l'expression congénitale), signes visuels ou signes d'HTIC, ralentissement/cassure staturale (courbe), anosmie, signes digestifs.",a
7,OIC-027-22-B-,Quelle est la caractéristique principale de la patiente P2S2R0 présentée dans la photographie?,Développement mammaire et accélération de la vitesse de croissance à l’âge de 7 ans,Développement mammaire et accélération de la vitesse de croissance à l’âge de 12 ans,Développement mammaire et accélération de la vitesse de croissance à l’âge de 15 ans,Développement mammaire et accélération de la vitesse de croissance à l’âge de 18 ans,a
8,OIC-027-28-A-,"L'échographie scrotale est utile en cas de doute diagnostique avec un kyste de l'épididyme (ou du cordon), ou en cas d'hydrocèle dite aigue (hydrocèle volumineuse et sous tension) pour éliminer un diagnostic différentiel de :",hernie inguino-scrotale étranglée,torsion du cordon spermatique,tumeur du testicule,kyste de l'épididyme (ou du cordon),a
9,OIC-027-45-B-,Quelle est la définition du terme psychothérapie?,Toute utilisation de moyens psychologiques pour traiter un trouble psychiatrique ou pour [[Connaître la définition du terme psychothérapie OIC-073-01-A#%20msocom%201|[FB1]]] tout autre problème non psychiatrique entraînant une souffrance ou une détresse psychologique,Toute utilisation de moyens psychologiques pour traiter un trouble psychiatrique ou pour [[Connaître la définition du terme psychothérapie OIC-073-01-A#%20msoanchor%201|[FB1]]] tout autre problème non psychiatrique entraînant une souffrance ou une détresse psychologique,Toute utilisation de moyens psychologiques pour traiter un trouble psychiatrique ou pour [[Connaître la définition du terme psychothérapie OIC-073-01-A#%20msoanchor%201|[FB1]]] tout autre problème non psychiatrique entraînant une souffrance ou une détresse psychologique,Toute utilisation de moyens psychologiques pour traiter un trouble psychiatrique ou pour [[Connaître la définition du terme psychothérapie OIC-073-01-A#%20msoanchor%201|[FB1]]] tout autre problème non psychiatrique entraînant une souffrance ou une détresse psychologique,a
