Unnamed: 0,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option,content_raw,distractor_quality
0,OIC-005-03-A,Quelle est la définition de la responsabilité civile?,Cette question évalue la capacité à définir la responsabilité civile.,La responsabilité civile est une obligation de réparer le préjudice causé à autrui.,Cette option est correcte car elle définit correctement la responsabilité civile.,La responsabilité civile est une obligation de payer une amende.,Cette option est incorrecte car elle définit incorrectement la responsabilité civile.,La responsabilité civile est une obligation de réparer le préjudice causé à soi-même.,Cette option est incorrecte car elle définit incorrectement la responsabilité civile.,La responsabilité civile est une obligation de réparer le préjudice causé à un tiers.,Cette option est incorrecte car elle définit incorrectement la responsabilité civile.,a,"{{objectif de connaissance
|Identifiant=OIC-005-03-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité civile
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=3}}

Les professionnels exerçant à titre libéral et les établissements de santé privés engagent leur responsabilité civile devant les juridictions de l’ordre judiciaire : tribunal de grande instance, cour d’appel, cour de cassation.

S’agissant des médecins salariés d’établissements, services ou organismes privés, ils n’engagent pas leur responsabilité civile personnelle du fait des dommages causés à un patient dès lors qu’ils n’outrepassent pas la mission qui leur a été confiée par leur employeur. C’est l’application du régime de responsabilité du commettant (l’employeur) du fait de son proposé (le médecin), lequel n’est pas incompatible avec le principe d’indépendance professionnelle du médecin dans l’exercice de son art.

Les praticiens hospitaliers engagent leur responsabilité civile professionnelle à raison des dommages survenus dans le cadre de leur secteur d’activité libérale au sein d’un établissement public de santé.",False
1,OIC-005-04-A,Connaître la définition de la responsabilité administrative,Cette question évalue la capacité à définir la responsabilité administrative en matière médicale.,La responsabilité administrative est engagée devant les juridictions civiles.,Cette option est incorrecte car la responsabilité administrative est engagée devant les juridictions administratives.,La responsabilité administrative est engagée devant les juridictions pénales.,Cette option est incorrecte car la responsabilité administrative est engagée devant les juridictions administratives.,La responsabilité administrative est engagée devant les juridictions civiles.,Cette option est incorrecte car la responsabilité administrative est engagée devant les juridictions administratives.,La responsabilité administrative est engagée devant les juridictions administratives.,Cette option est correcte car la responsabilité administrative est engagée devant les juridictions administratives.,d,"{{objectif de connaissance
|Identifiant=OIC-005-04-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité administrative
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=4}}

Il n’existe pas de relation juridique entre le médecin, agent du service public hospitalier, et son patient. Les deux ne sont en effet liés juridiquement qu’à l’établissement public de santé. S’agissant des actes réalisés par les médecins hospitaliers, c’est la responsabilité de l’établissement public de santé qui est engagée devant les juridictions de l’ordre administratif : tribunal administratif, cour administrative d’appel, Conseil d’Etat.

La jurisprudence administrative a défini une typologie des fautes susceptibles d’engager la responsabilité du service public :

- la faute de service : c’est la faute commise par un agent public dans l’exercice de ses fonctions, c’est-à-dire pendant le service, avec les moyens du service et en dehors de tout intérêt personnel ;

- la faute dans l’organisation et le fonctionnement du service : ont pu être qualifiés ainsi une insuffisance dans la surveillance des patients ou des locaux, le mauvais entretien des locaux et du matériel, la mauvaise coordination entre médecins, etc.

Doit être distinguée la faute personnelle ou détachable du service, qui engage la responsabilité civile personnelle de son auteur. Deux cas de figure peuvent être envisagées :

- soit elle a été commise en dehors du service et n’a aucun lien avec le service (exemple de la faute commise par un médecin dans des soins dispensés dans un cadre privé) ;

- soit elle a été commise dans le service mais elle s’en détache en raison de l’intention de nuire de son auteur ou de son exceptionnelle gravité (exemple du refus du chirurgien de garde de se déplacer pour un blessé par balle alors qu’il avait été averti par l’interne de la gravité de son état).",False
2,OIC-005-05-A,Quelle est la définition de la responsabilité disciplinaire?,La question évalue la capacité à définir la responsabilité disciplinaire.,Connaître la définition de la responsabilité disciplinaire,Cette option est correcte car elle correspond à l'objectif de connaissance.,Connaître la définition de la responsabilité pénale,"Cette option est incorrecte car elle concerne la responsabilité pénale, qui est un autre type de responsabilité.",Connaître la définition de la responsabilité civile,"Cette option est incorrecte car elle concerne la responsabilité civile, qui est un autre type de responsabilité.",Connaître la définition de la responsabilité administrative,"Cette option est incorrecte car elle concerne la responsabilité administrative, qui est un autre type de responsabilité.",a,"{{objectif de connaissance
|Identifiant=OIC-005-05-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité disciplinaire
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=5}}

La responsabilité disciplinaire est celle qui est encourue devant les instances de l’Ordre des médecins. L’action disciplinaire est indépendante des autres actions qui peuvent être engagées contre un médecin (civiles ou pénales).

'''Fautes et sanctions disciplinaires'''

'''Fautes disciplinaires'''

Est une faute disciplinaire tout manquement aux règles de déontologie médicale. C’est une violation d’une règle morale plus qu’une règle proprement juridique, qu’elle soit inscrite dans un texte, le Code de la déontologie médicale par exemple, ou non. Ces fautes ont en principe un rapport avec l’activité professionnelle, mais pas exclusivement. Un acte de la vie privée peut porter atteinte à l’honneur ou à la moralité de la profession. Les règles de la déontologie médicale sont rassemblées dans le Code de déontologie médicale (article R.4127-1 à R.4127-112 du Code de la santé publique). Les principes fondamentaux qu’il renferme s’imposent à tous les médecins inscrits au tableau de l’Ordre des médecins, ainsi qu’aux internes en médecine effectuant des remplacements.

Ce Code se différencie du Code pénal qui lui n’énonce pas de principes mais liste des comportements prohibés par notre société (infractions pénales). Il est élaboré par le Conseil national de l’Ordre des médecins, investi à cet effet d’un pouvoir réglementaire soumis au Conseil d’Etat. Il est périodiquement révisé, étant donné qu’il doit être conforme à la loi.

'''Sanctions disciplinaires'''

Les sanctions encourues sont l’avertissement, le blâme, l’interdiction temporaire d’exercer des fonctions rémunérées par l’Etat ou les collectivités publiques, l’interdiction temporaire d’exercice (pour trois ans au maximum) ou la radiation du tableau de l’Ordre.

Les interdictions d’exercice temporaires peuvent être assorties d’un sursis (partiel ou total), révocable en cas de commission d’une nouvelle faute disciplinaire dans les cinq ans qui suivent. En cas de radiation, l’intéressé peut demander son relèvement au bout de trois ans. En cas de refus, il doit attendre trois ans pour en faire éventuellement à nouveau la demande.

'''Mise en œuvre de la responsabilité disciplinaire'''

'''Juridictions'''

Les juridictions compétentes sont la chambre disciplinaire du conseil régional de l’Ordre et la chambre disciplinaire du conseil national de l’Ordre en appel. Un pouvoir en cassation peut être formé devant le Conseil d’Etat.

'''Saisine'''

Peuvent saisir la chambre disciplinaire du conseil régional de l’Ordre pour les médecins libéraux un conseil départemental de l’Ordre, le conseil national de l’Ordre, un médecin, un syndicat de médecins, le directeur de l’Agence régionale de la santé, le préfet, le procureur de la République et le ministre en charge de la santé.

Pour les médecins du secteur public hospitalier, le pouvoir de saisine est limité au conseil départemental de l’Ordre, au conseil national de l’Ordre, au directeur de l’Agence régionale de la santé, au préfet, au procureur de la République et au ministre en charge de la santé.

Une plainte contre un médecin libéral ou hospitalier émanant d’un patient doit être transmise au conseil départemental de l’Ordre, qui a l’obligation de tenter une conciliation.

En cas d’échec, le conseil départemental de l’Ordre a l’obligation de transmettre la plainte à la chambre disciplinaire du conseil régional de l’Ordre.

'''Procédure'''

Le patient est l’une des parties à l’instance, il peut donc exercer des voies de recours (appel, pourvoi en cassation) et peut être accompagné d’un avocat. Le médecin, quant à lui, peut être assisté devant la juridiction par un avocat du barreau ou un confrère. La procédure devant les juridictions de l’Ordre est contradictoire ; l’audience est publique",False
3,OIC-005-06-A,Quelle est la définition de la responsabilité sans faute?,"Cette question évalue la compréhension de la définition de la responsabilité sans faute, un concept important en droit médical.",La responsabilité sans faute est engagée uniquement en cas de faute prouvée.,Cette option est incorrecte car elle ne correspond pas à la définition donnée.,La responsabilité sans faute est engagée en cas de dommage lié aux soins survenu sans manquement aux règles professionnelles ou scientifiques.,Cette option est correcte car elle correspond à la définition donnée.,La responsabilité sans faute est une notion obsolète en droit médical.,Cette option est incorrecte car elle ne correspond pas à la définition donnée.,La responsabilité sans faute est uniquement liée à la survenue d'une infection nosocomiale.,Cette option est incorrecte car elle ne correspond pas à la définition donnée.,b,"{{objectif de connaissance
|Identifiant=OIC-005-06-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité sans faute
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=6}}

Dans le cas d'un dommage lié au soins mais survenu sans manquement aux règles professionnelles ou scientifiques, ni erreur, on parle de responsabilité sans faute.

Le législateur a reconnu des systèmes d’indemnisation pour lesquels la responsabilité peut être engagée à partir d’un autre fait générateur que la faute prouvée. C’est le cas de la survenue d’une infection nosocomiale.",False
4,OIC-005-07-A,Quelle est la définition de la faute en responsabilité médicale?,"Cette question évalue la compréhension de la définition de la faute en responsabilité médicale, qui est un élément clé pour déterminer la responsabilité d'un professionnel de santé.",Une violation des connaissances médicales avérées ou des données acquises de la science.,"Cette option est correcte car elle correspond à la définition de la faute technique, qui est une violation des connaissances médicales avérées ou des données acquises de la science.",Un défaut d'un produit de santé.,Cette option est incorrecte car elle ne correspond pas à la définition de la faute en responsabilité médicale.,Une violation d'un devoir d'humanisme.,Cette option est incorrecte car elle ne correspond pas à la définition de la faute en responsabilité médicale.,Un défaut d'information ne permettant pas un consentement libre et éclairé.,Cette option est incorrecte car elle ne correspond pas à la définition de la faute en responsabilité médicale.,a,"{{objectif de connaissance
|Identifiant=OIC-005-07-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la faute
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=7}}

Depuis la loi du 4 mars 2002 ont été substitués aux obligations professionnelles du médecin les droits du patient légalement consacrés. Un patient peut se prévaloir d’une atteinte à l’un de ses droits pour rechercher la responsabilité d’un médecin ou d’un établissement de santé. Il lui incombe cependant de prouver la faute. L’article L.1142-1 du Code de la santé publique stipule que les professionnels et établissements de santé ne sont responsables des conséquences dommageables d’actes de prévention, de prévention ou de soins qu’en cas de faute.

'''Droits du patient'''

L’atteinte de l’un de ces droits peut constituer un fait générateur de responsabilité médicale pour faute :

- droit à la protection de la santé ;

- droit au respect de la dignité ;

- droit à ne pas subir de discrimination dans l’accès à la prévention ou aux soins ;

- droit au respect de la vie privée et au secret des informations ;

- droit de recevoir les traitements et les soins les plus appropriés et de bénéficier des thérapeutiques dont l’efficacité est reconnue et qui garantissent la meilleure sécurité sanitaire et le meilleur apaisement possible de la souffrance au regard des connaissances médicales avérées ;

- droit de ne pas subir des actes témoignant d’une obstination déraisonnable ;

- droit à une sédation profonde et continue provoquant une altération de la conscience maintenue jusqu’au décès ;

- droit de recevoir des traitements et des soins visant à soulager la souffrance ;

- droit d’accéder à des soins palliatifs et à un accompagnement ;

- droit d’être informé sur son état de santé ;

-droit à une information sur les frais auxquels l’usager pourrait être exposé à l’occasion d’activités de prévention, de diagnostic et de soins ;

- droit de refuser ou de ne pas recevoir un traitement


Le fait générateur de responsabilité doit donc être une faute prouvée. Cette faute peut revêtir différentes formes et l’on distingue habituellement :

- la faute technique, qui consiste en une violation des connaissances médicales avérées ou des données acquises de la science. Ces connaissances médicales avérées constituent un standard technique auquel le juge se réfère, et peuvent être définies en référence à la littérature scientifique médicale ainsi qu’aux recommandations de bonnes pratiques. Le juge devra se référer aux connaissances médicales avérées au moment de l’acte médical litigieux ;

- la violation d’un devoir d’humanisme, qui renvoie à la dimension « humaine » de la pratique médicale, et peut notamment résulter de l’atteinte au secret professionnel ou d’un défaut d’information ne permettant pas un consentement libre et éclairé.

Dans certains cas, le fait générateur peut prendre d’autres formes : il peut s’agir du défaut d’un produit de santé, le produit étant considéré comme défectueux lorsqu’il n’offre pas la sécurité à laquelle on peut légitimement s’attendre.",False
5,OIC-005-09-A,Quelle est la définition de l'accident médical?,Cette question évalue la capacité à définir l'accident médical.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic, entraînant un dommage anormal au regard de l'évolution prévisible de l'état de santé.",Correct. Cette définition correspond à la définition officielle de l'accident médical.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic, entraînant un dommage anormal au regard de l'évolution prévisible de l'état de santé, mais uniquement dans un établissement de santé public ou privé.",Incorrect. La définition officielle ne limite pas l'accident médical à un lieu de soins spécifique.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic, entraînant un dommage anormal au regard de l'évolution prévisible de l'état de santé, mais uniquement dans un cabinet d'un professionnel de santé exerçant en libéral.",Incorrect. La définition officielle ne limite pas l'accident médical à un lieu de soins spécifique.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic, entraînant un dommage anormal au regard de l'évolution prévisible de l'état de santé, mais uniquement dans un laboratoire d'analyses médicales, de radiologie, une pharmacie, etc.",Incorrect. La définition officielle ne limite pas l'accident médical à un lieu de soins spécifique.,a,"{{objectif de connaissance
|Identifiant=OIC-005-09-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’accident médical et de l’affection iatrogène
|Description=None
|Rubrique=Définition
|Contributeurs=Patrice François
|Ordre=9}}

L’accident médical désigne un événement indésirable survenu au cours d’un acte de soin, de prévention ou de diagnostic. Cet accident entraîne un dommage anormal au regard de l’évolution prévisible de l'état de santé. Il peut s’être produit dans n’importe quel lieu de soins : un établissement de santé, public ou privé, un cabinet d’un professionnel de santé exerçant en libéral, un laboratoire d’analyses médicales, de radiologie, une pharmacie, etc. Un accident médical peut être causé par une erreur d’un professionnel de santé ou découler de soins conformes aux bonnes pratiques et s'appelle alors « l’aléa thérapeutique ».

Les affections iatrogènes désignent l’ensemble des effets néfastes qui peuvent être provoqués par un traitement ou un acte médical. On parle d’effets iatrogènes lorsque le traitement déclenche de nouveaux symptômes, distincts de ceux qu’il est censé soigner. L’effet iatrogène peut intervenir avec ou sans mauvais usage du médicament, que ce mauvais usage soit le fait d’un professionnel de santé ou du malade lui-même. Il ne faut donc pas confondre affection iatrogène et erreur médicale. L’affection iatrogène est une conséquence de la prise d’un médicament même si l’indication était correcte et la posologie bonne. Il est donc possible d’être victime d’une affection iatrogène en dehors de toute erreur ou faute du professionnel de santé.",False
6,OIC-005-10-A,Quelle est la définition d'une infection nosocomiale?,Cette question évalue la capacité à définir une infection nosocomiale.,Une infection contractée au cours d'un séjour dans un établissement de santé.,Correct. Cette option définit correctement une infection nosocomiale.,"Une infection contractée au cours d'un séjour dans un établissement de santé, mais qui était en incubation lors de l'entrée dans l'établissement.","Incorrect. Cette option est une tentative de piège, mais elle est incorrecte car elle ajoute une condition supplémentaire qui n'est pas nécessaire pour définir une infection nosocomiale.","Une infection contractée au cours d'un séjour dans un établissement de santé, mais qui était déjà présente au moment de l'admission du patient.","Incorrect. Cette option est une tentative de piège, mais elle est incorrecte car elle décrit une situation qui n'est pas une infection nosocomiale.","Une infection contractée au cours d'un séjour dans un établissement de santé, mais qui était déjà présente au moment de l'admission du patient, et qui apparaît avant 48 heures d'hospitalisation.","Incorrect. Cette option est une tentative de piège, mais elle est incorrecte car elle décrit une situation qui n'est pas une infection nosocomiale.",a,"{{objectif de connaissance
|Identifiant=OIC-005-10-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’infection nosocomiale
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=10}}

Les infections nosocomiales sont les infections contractées au cours d’un séjour dans un établissement de santé (hôpital, clinique…). Elle est aussi appelée infection associée aux soins. Ceci veut dire que ces infections sont absentes au moment de l’admission du patient dans l’établissement. Cependant, si l’état infectieux du patient à l’admission est inconnu, l’infection est généralement considérée comme nosocomiale si elle apparaît après 48 heures d’hospitalisation. Si elle apparaît avant un tel délai, on considère en général qu’elle était en incubation lors de l’entrée dans l’établissement.",False
7,OIC-005-11-A,Quelle est la définition de l'aléa thérapeutique?,"Cette question évalue la capacité à définir l'aléa thérapeutique, un concept clé en responsabilité médicale.",Un événement indésirable dont la cause est une erreur de soins.,Cette option est incorrecte car elle confond l'aléa thérapeutique avec une erreur de soins.,Un événement imprévu causant un dommage ayant un lien de causalité certain avec l'acte médical.,"Cette option est partiellement correcte car elle décrit un accident médical, mais ne capture pas l'inévitabilité de l'aléa thérapeutique.","Un risque accidentel inhérent à l'acte de soin, de diagnostic ou de prévention qui ne pouvait être maîtrisé.",Cette option est correcte car elle définit précisément l'aléa thérapeutique en termes de risque inhérent et d'inévitabilité.,Un événement indésirable dont la cause est une action de soins conforme et ne comportant pas d'erreur.,"Cette option est correcte car elle décrit l'aléa thérapeutique, mais est trop vague et ne capture pas l'inévitabilité.",c,"{{objectif de connaissance
|Identifiant=OIC-005-11-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’aléa thérapeutique
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=11}}

L’aléa thérapeutique se distingue des erreurs par son inévitabilité. C’est un événement indésirable dont la cause est une action de soins conforme et ne comportant pas d’erreur. Il est lié à la réalisation d’un risque inhérent à l’action de soins. On peut citer comme exemple la survenue d’un effet secondaire d’un médicament correctement prescrit et administré.  L’aléa thérapeutique est défini comme étant un accident médical (événement imprévu causant un dommage ayant un lien de causalité certain avec l’acte médical), une affection iatrogène (les soins délivrés au patient ont causé le dommage) ou une infection nosocomiale (l’infection apparaît après une hospitalisation et était absente le jour de l’admission) qui est survenue sans responsabilité des professionnels de santé ou de l’établissement de santé. D’après la jurisprudence, l’aléa thérapeutique consiste dans « la survenance, en dehors de toute faute du praticien, d’un risque accidentel inhérent à l’acte médical et qui ne pouvait être maîtrisé ».  Tout risque inhérent à l’acte de soin, de diagnostic ou de prévention peut constituer un aléa thérapeutique.",True
8,OIC-005-12-B,Quels sont les principaux facteurs conduisant à l'ouverture d'un contentieux à la suite d'un accident médical?,Cette question évalue la capacité à identifier les facteurs qui peuvent conduire à l'ouverture d'un contentieux à la suite d'un accident médical.,Les facteurs liés au patient uniquement,"Cette option est incorrecte car les facteurs peuvent être liés au patient, aux tâches à accomplir, à l'équipe, à l'environnement de travail, à l'organisation et au management, et au contexte institutionnel.",Les facteurs liés uniquement aux tâches à accomplir,"Cette option est incorrecte car les facteurs peuvent être liés à plusieurs aspects, y compris les tâches à accomplir, l'équipe, l'environnement de travail, etc.",Les facteurs liés uniquement à l'équipe,"Cette option est incorrecte car les facteurs peuvent être liés à plusieurs aspects, y compris l'équipe, l'environnement de travail, l'organisation et le management, et au contexte institutionnel.",Les facteurs liés uniquement à l'environnement de travail,"Cette option est incorrecte car les facteurs peuvent être liés à plusieurs aspects, y compris l'environnement de travail, l'organisation et le management, et au contexte institutionnel.",a,"{{objectif de connaissance
|Identifiant=OIC-005-12-B
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=B
|Intitulé=Identifier les principaux facteurs conduisant à l’ouverture d’un contentieux à la suite d’un accident médical
|Description=None
|Rubrique=Epidémiologie
|Contributeurs=Bastien Boussat
|Ordre=12}}

Les facteurs peuvent être liés :

- au patient : état de santé, gravité des maladies associées, difficultés de communication (langue, conflit avec les soignants, etc.), vulnérabilité de certaines populations de patients (personnes âgées, patients atteints de maladies chroniques, enfants, adolescents, personnes atteintes d’un handicap, démunies, etc.) ;

- aux tâches à accomplir ;

- à l’équipe : communication au sein de l’équipe et avec le patient dans la relation thérapeutique, traçabilité de l’information dans le dossier du patient, encadrement des juniors en cours d’apprentissage ;

- à l’environnement de travail : physique (locaux, matériels, fournitures, etc.) ou organisationnel (disponibilité de ressources humaines qualifiées, organisation du travail, horaires, etc.) ;

- à l’organisation et au management : politiques de remplacement du personnel absent (pas de remplacement, intérim, déplacement), de formation continue, de gestion des équipements ;

- au contexte institutionnel : politiques de santé publique nationale et régionale, systèmes de signalement des événements indésirables",False
9,OIC-005-13-A,Quelle est la définition de la responsabilité sans faute?,"Cette question évalue la compréhension de la notion de responsabilité sans faute, un concept important en droit médical.",La responsabilité sans faute est une responsabilité qui ne nécessite pas de faute pour être engagée.,"Cette option est correcte. La responsabilité sans faute est une responsabilité qui peut être engagée même en l'absence de faute, par exemple en cas d'aléa thérapeutique.",La responsabilité sans faute est une responsabilité qui nécessite une faute pour être engagée.,Cette option est incorrecte. La responsabilité sans faute est une responsabilité qui peut être engagée même en l'absence de faute.,La responsabilité sans faute est une responsabilité qui n'existe pas en droit médical.,Cette option est incorrecte. La responsabilité sans faute est un concept reconnu en droit médical.,La responsabilité sans faute est une responsabilité qui est toujours engagée en cas d'aléa thérapeutique.,"Cette option est incorrecte. La responsabilité sans faute peut être engagée en cas d'aléa thérapeutique, mais ce n'est pas toujours le cas.",a,"{{objectif de connaissance
|Identifiant=OIC-005-13-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Facteurs humains : connaître la notion d’erreur humaine (typologie et facteurs favorisants)
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=13}}

L’être humain est faillible et il est dans sa nature de faire des erreurs. Reconnaitre qu’on peut faire des erreurs est un préalable à l’adoption de comportement de prévention des erreurs. Reconnaître qu’on a fait une erreur est une occasion d’apprendre et de progresser. C’est vrai au niveau des individus mais c’est vrai aussi au niveau des organisations. Quand une organisation met en place des dispositifs d’identification, d’analyse et de prévention des erreurs on parle « d’organisation apprenante ».

'''Les facteurs humains individuels''' 

Le manque de connaissances, de compétences, d’expérience peut conduire à des erreurs. Il faut savoir qu’on ne peut pas tout savoir. La capacité de mémorisation est limitée et il faut savoir vérifier ou demander de l’aide.

Le stress, le manque de temps, la fatigue, la maladie sont aussi des circonstances qui réduisent la performance de l’individu.

Certains facteurs linguistiques ou culturels qui peuvent perturber la bonne compréhension d’une situation. Enfin, il faut aussi signaler les facteurs liés au patient dont l’attitude ou le comportement influencent le risque d’erreur.

'''Les facteurs humains collectifs'''

La production de soins, surtout à l’hôpital, est un travail d’équipe. Une mauvaise organisation de l’équipe, un manque de communication voire des conflits nuisent à la bonne coopération des acteurs et accroissent le risque d’erreurs.

Une équipe efficace a d’abord la conscience d’être une équipe avec un leadership identifié. Le rôle de chacun est clairement défini. La communication est organisée avec des briefings avant l’action et des débriefings après.",False
