Unnamed: 0,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option,content_raw,distractor_quality
0,OIC-005-01-A,Laquelle des définitions suivantes décrit le mieux la notion de responsabilité sanction/indemnisation en médecine?,Cette question évalue la compréhension de la définition de la responsabilité sanction/indemnisation en médecine.,La responsabilité pénale qui peut entraîner des sanctions disciplinaires et/ou des peines de prison.,"Cette option décrit la responsabilité pénale, pas la responsabilité sanction/indemnisation.",La responsabilité civile qui vise à réparer le préjudice subi par la victime d'un acte médical fautif.,"Cette option décrit la responsabilité civile, un aspect de la responsabilité sanction/indemnisation.",La responsabilité administrative qui peut entraîner des sanctions disciplinaires et/ou des amendes pour les établissements de santé.,"Cette option décrit la responsabilité administrative, un aspect de la responsabilité sanction/indemnisation.",La responsabilité qui peut englober à la fois la sanction du professionnel ou de l'établissement et l'indemnisation de la victime.,Cette option correspond à la définition de la responsabilité sanction/indemnisation.,d,"{{objectif de connaissance
|Identifiant=OIC-005-01-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité sanction/indemnisation
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=1}}

La responsabilité d’un professionnel de santé ou d’un établissement de santé peut être recherchée à deux fins : soit la sanction du professionnel ou de l’établissement, soit l’indemnisation de l’usager victime des conséquences d’un événement indésirable associé aux soins. La sanction peut être de nature pénale ou disciplinaire. L’indemnisation incombe au responsable (exercice libéral) ou à son employeur s’il est salarié (public ou privé). Elle peut également être obtenue via la procédure amiable devant les commissions de conciliation et d’indemnisation. L’indemnisation des victimes est assurée par l’obligation de souscription pour les médecins et les établissements de santé (public ou privé) d’une assurance de responsabilité civile professionnelle. En plus d’assurer l’indemnisation des victimes, cette assurance permet de couvrir les médecins salariés lorsque la faute est détachable du service ou lorsque la mission qui leur a été confiée est outrepassée.

L’indemnisation de l’usager s’estimant victime des conséquences dommageables d’un acte médical suppose qu’il apporte la preuve d’un dommage, d’un fait générateur de responsabilité et d’un lien de causalité entre le fait générateur et le dommage.

En matière de responsabilité des professionnels et des établissements de santé, le dommage peut prendre plusieurs formes. Il peut s’agir :

- d’une atteinte à l’intégrité physique ou psychique ;

- d’une perte de chance de survie ou de guérison ;

- d’une perte de chance d’avoir échappé à un risque qui s’est finalement réalisé (en cas de défaut d’information).

Le dommage doit être actuel et certain. Il peut être futur dès lors qu’il est certain (par exemple, la stérilité d’une enfant du fait d’une irradiation fautive).

Le lien de causalité entre le fait générateur de responsabilité (en règle générale, la faute) et le dommage doit être certain. Il n’a pas à être direct ni exclusif.

Parmi les éléments du triptyque fondant l’engagement de la responsabilité, le lien de causalité est habituellement le plus difficile à prouver par le patient. En effet, il est souvent complexe de distinguer les conséquences de la faute de celles de l’évolution spontanée de l’état de santé pathologique. Le juge admet que l’on puisse indemniser la perte de chance de survie ou de guérison. Dans ce cas, l’indemnisation est accordée à proportion de la probabilité de survie ou de guérison perdue du fait de la faute.

Le même raisonnement est appliqué en cas de défaut d’information. Dans cette hypothèse, le patient a perdu une chance de s’échapper au risque qui s’est finalement réalisé. En d’autres termes, s’il avait été informé du risque, il aurait pu choisir de le courir ou de renoncer à l’acte médical. L’indemnisation est accordée à proportion de la probabilité qu’il aurait eu de renoncer à l’acte s’il avait été informé du risque. Il en résulte que si l’acte était indispensable, le juge en déduit que même informé du risque, le patient n’aurait pas renoncé à l’acte. La perte de chance est donc nulle.

Le juge judiciaire comme le juge administratif admettent également qu’un défaut d’information ouvre droit à une indemnisation au titre du préjudice d’impréparation, distinct de la perte de chance. Cette indemnisation répare, lorsque le risque dont le patient n’a pas été informé s’est réalisé, les troubles qu’il a pu subir du fait qu’il n’a pas pu se préparer à cette éventualité, notamment en prenant certaines dispositions personnelles.",False
1,OIC-005-02-A,Laquelle des définitions suivantes décrit le mieux la responsabilité pénale?,Cette question évalue la compréhension de la définition de la responsabilité pénale.,Un mécanisme de réparation du préjudice subi par une victime.,"Cette option décrit la responsabilité civile, non la responsabilité pénale.",Un système de sanctions visant à réprimer les comportements considérés comme répréhensibles par la société.,Cette option correspond à la définition de la responsabilité pénale.,Un processus d'évaluation des compétences et des connaissances d'un professionnel de santé.,"Cette option décrit la responsabilité disciplinaire, non la responsabilité pénale.",Un mécanisme d'attribution de responsabilités administratives suite à une erreur médicale.,"Cette option décrit la responsabilité administrative, non la responsabilité pénale.",b,"{{objectif de connaissance
|Identifiant=OIC-005-02-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité pénale
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=2}}

La responsabilité pénale a une fonction répressive ayant pour vocation de sanctionner des individus dont le comportement est réprouvé dans notre société. Elle est toujours personnelle, concernant à l’identique tous les médecins (y compris les internes), quel que soit le cadre de leur exercice. Elle peut également concerner les établissements de santé, en leur qualité de personnes morales.

Les comportements que la société définit comme répréhensibles sont appelés infractions. Celle-ci sont énumérées dans le Code pénal et classées en trois catégories par ordre de gravité : contraventions, délits, crimes.

'''Infractions'''

En dehors de certaines dispositions particulières liées au non-respect des conditions spécifiques à certaines actions de soins (actes d’assistance médicale à la procréation, activités de recherche biomédicale, etc.), les infractions qui peuvent être reprochées à un médecin peuvent également l’être à tout citoyen. Toutefois, les médecins sont exposés à commettre certaines infractions plus que d’autres. On peut en citer trois grands types du fait de l’exercice de soin : celles qui résultent de la violation d’un devoir d’humanisme, les blessures et l’homicide involontaires et les blessures et l’homicide volontaire.

'''Violation d’un devoir d’humanisme'''

La violation d’un devoir d’humanisme concerne principalement 1/ la rédaction de faux certificats (article 441-7 du Code pénal), 2/ la violation du secret professionnel (article 226-13 du Code pénal) et 3/ la non-assistance à personne en péril (article 226-3 du Code pénal, encadré 5.1). Il faut noter que le défaut d’information au patient ne constitue pas une infraction pénale. Ce défaut est par contre une cause potentielle de responsabilité civile.

'''Homicide et blessures involontaires'''

L’homicide et les blessures involontaires recouvrent la majeure partie des infractions reprochées à un médecin (articles 221-6, 222-19 et 222-20 du Code pénal). La mort d’un patient ou ses blessures sont supposées résulter d’une faute par maladresse, imprudence, inattention, négligence ou manquement à une obligation de sécurité. Le médecin mis en cause n’a potentiellement pas respecté les données acquises de la science ou a commis une faute « banale » dans l’élaboration d’un diagnostic, dans la prescription ou la réalisation d’un traitement. Pour que l’infraction existe, il faut que le dommage et le lien de causalité certain avec la faute soient établis. Le lien de causalité peut être soit direct, soit indirect, à condition que la faute commise soit dite qualifiée, c’est-à-dire ayant créé ou contribué à créer la situation qui a contribué au dommage, ou n’ayant pas pris les mesures nécessaires pour l’éviter. On distingue deux types de fautes qualifiées :

- la faute délibérée : il s’agit d’une violation d’une obligation particulière de prudence ou de sécurité prévue par la loi ou le règlement. Elle nécessite de violer délibérément (donc de façon consciente) une règle de prudence ou de sécurité.

- la faute caractérisée : il s’agit d’une faute d’imprudence, de négligence, un manquement à une obligation de prudence ou de sécurité qui expose le patient à un risque d’une particulière gravité, que le médecin ne peut ignorer.

'''Homicide et blessures volontaires'''

Cela reste des infractions rares en responsabilité médicale. Elle se résument pour l’essentiel à la question de :

- l’euthanasie ;

- l’absence d’obtention d’un consentement d’un patient à un acte médical ;

- le non-respect des conditions de licéité de certains actes médicaux, encadrés par des lois spécifiques : interruption de grossesse, stérilisation à but contraceptif, prélèvements d’organes, expérimentation chez l’homme, etc.

'''Mise en œuvre de la responsabilité pénale'''

'''Poursuites'''

L’initiative des poursuites appartient au procureur de la République, qui décide des suites à donner aux plaintes, dénonciations et enquêtes de police. Il peut classer l’affaire sans suite, renvoyer directement l’auteur devant la juridiction de jugement ou requérir l’ouverture d’une information judiciaire.

Si l’affaire n’est pas classée sans suite, l’étape de l’information judiciaire est la règle en matière médicale, compte tenu de la complexité fréquente des dossiers.

'''Jugement'''

Les contraventions sont jugées par le tribunal de police et passibles d’amendes, les délits par le tribunal correctionnel et passibles de peines d’emprisonnement et les crimes par la cour d’assises et passibles de peines de réclusion criminelle.

Les infractions reprochées aux médecins relèvent habituellement du tribunal correctionnel, constituant pour l’essentiel des délits exposant à des peines d’emprisonnement, pouvant être assorties du sursis, et à des amendes.

Le patient victime peut demander en parallèle de la sanction pénale l’indemnisation de son dommage, au cours du même procès, en se constituant partie civile.

<br />",False
2,OIC-005-03-A,Quelle est la définition de la responsabilité civile dans le contexte médical?,Cette question évalue la compréhension de la définition de la responsabilité civile en médecine.,La responsabilité pénale encourue par un professionnel de santé en cas d'erreur médicale.,"Incorrecte. La responsabilité pénale est une sanction pénale, pas civile.",L'obligation pour un professionnel de santé de réparer les dommages causés à un patient par une faute professionnelle.,Correcte. La responsabilité civile implique une réparation des dommages causés.,La responsabilité disciplinaire qui peut entraîner une sanction professionnelle.,Incorrecte. La responsabilité disciplinaire est une sanction interne à l'ordre professionnel.,La responsabilité administrative qui peut entraîner des sanctions financières pour un établissement de santé.,Incorrecte. La responsabilité administrative est une sanction de l'État.,b,"{{objectif de connaissance
|Identifiant=OIC-005-03-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité civile
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=3}}

Les professionnels exerçant à titre libéral et les établissements de santé privés engagent leur responsabilité civile devant les juridictions de l’ordre judiciaire : tribunal de grande instance, cour d’appel, cour de cassation.

S’agissant des médecins salariés d’établissements, services ou organismes privés, ils n’engagent pas leur responsabilité civile personnelle du fait des dommages causés à un patient dès lors qu’ils n’outrepassent pas la mission qui leur a été confiée par leur employeur. C’est l’application du régime de responsabilité du commettant (l’employeur) du fait de son proposé (le médecin), lequel n’est pas incompatible avec le principe d’indépendance professionnelle du médecin dans l’exercice de son art.

Les praticiens hospitaliers engagent leur responsabilité civile professionnelle à raison des dommages survenus dans le cadre de leur secteur d’activité libérale au sein d’un établissement public de santé.",False
3,OIC-005-04-A,Laquelle des affirmations suivantes définit la responsabilité administrative d'un médecin hospitalier?,Cette question évalue la compréhension de la définition de la responsabilité administrative dans le contexte médical.,"La responsabilité personnelle du médecin pour les dommages causés à un patient, indépendamment de son statut d'agent public.","Cette option décrit la responsabilité civile personnelle, pas administrative.","La responsabilité de l'établissement public de santé pour les dommages causés par les actes des médecins hospitaliers, engagée devant les juridictions administratives.",Cette option correspond à la définition de la responsabilité administrative.,"La responsabilité pénale du médecin pour les actes commis intentionnellement ou par négligence grave, pouvant entraîner des sanctions disciplinaires.","Cette option décrit la responsabilité pénale, pas administrative.","La responsabilité disciplinaire du médecin, qui peut entraîner des sanctions internes par l'établissement de santé.","Cette option décrit la responsabilité disciplinaire, pas administrative.",b,"{{objectif de connaissance
|Identifiant=OIC-005-04-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité administrative
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=4}}

Il n’existe pas de relation juridique entre le médecin, agent du service public hospitalier, et son patient. Les deux ne sont en effet liés juridiquement qu’à l’établissement public de santé. S’agissant des actes réalisés par les médecins hospitaliers, c’est la responsabilité de l’établissement public de santé qui est engagée devant les juridictions de l’ordre administratif : tribunal administratif, cour administrative d’appel, Conseil d’Etat.

La jurisprudence administrative a défini une typologie des fautes susceptibles d’engager la responsabilité du service public :

- la faute de service : c’est la faute commise par un agent public dans l’exercice de ses fonctions, c’est-à-dire pendant le service, avec les moyens du service et en dehors de tout intérêt personnel ;

- la faute dans l’organisation et le fonctionnement du service : ont pu être qualifiés ainsi une insuffisance dans la surveillance des patients ou des locaux, le mauvais entretien des locaux et du matériel, la mauvaise coordination entre médecins, etc.

Doit être distinguée la faute personnelle ou détachable du service, qui engage la responsabilité civile personnelle de son auteur. Deux cas de figure peuvent être envisagées :

- soit elle a été commise en dehors du service et n’a aucun lien avec le service (exemple de la faute commise par un médecin dans des soins dispensés dans un cadre privé) ;

- soit elle a été commise dans le service mais elle s’en détache en raison de l’intention de nuire de son auteur ou de son exceptionnelle gravité (exemple du refus du chirurgien de garde de se déplacer pour un blessé par balle alors qu’il avait été averti par l’interne de la gravité de son état).",True
4,OIC-005-05-A,Laquelle des définitions suivantes décrit la responsabilité disciplinaire?,Cette question évalue la compréhension de la définition de la responsabilité disciplinaire en médecine.,La responsabilité encourue devant les tribunaux pour un acte illicite.,"Cette option décrit la responsabilité pénale, pas la responsabilité disciplinaire.",La responsabilité qui oblige à réparer un préjudice causé à un tiers.,"Cette option décrit la responsabilité civile, pas la responsabilité disciplinaire.",La responsabilité qui peut entraîner des sanctions administratives pour manquement à des règles.,"Cette option décrit la responsabilité administrative, pas la responsabilité disciplinaire.",La responsabilité encourue devant les instances de l’Ordre des médecins pour un manquement aux règles de déontologie médicale.,Cette option correspond à la définition de la responsabilité disciplinaire.,d,"{{objectif de connaissance
|Identifiant=OIC-005-05-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité disciplinaire
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=5}}

La responsabilité disciplinaire est celle qui est encourue devant les instances de l’Ordre des médecins. L’action disciplinaire est indépendante des autres actions qui peuvent être engagées contre un médecin (civiles ou pénales).

'''Fautes et sanctions disciplinaires'''

'''Fautes disciplinaires'''

Est une faute disciplinaire tout manquement aux règles de déontologie médicale. C’est une violation d’une règle morale plus qu’une règle proprement juridique, qu’elle soit inscrite dans un texte, le Code de la déontologie médicale par exemple, ou non. Ces fautes ont en principe un rapport avec l’activité professionnelle, mais pas exclusivement. Un acte de la vie privée peut porter atteinte à l’honneur ou à la moralité de la profession. Les règles de la déontologie médicale sont rassemblées dans le Code de déontologie médicale (article R.4127-1 à R.4127-112 du Code de la santé publique). Les principes fondamentaux qu’il renferme s’imposent à tous les médecins inscrits au tableau de l’Ordre des médecins, ainsi qu’aux internes en médecine effectuant des remplacements.

Ce Code se différencie du Code pénal qui lui n’énonce pas de principes mais liste des comportements prohibés par notre société (infractions pénales). Il est élaboré par le Conseil national de l’Ordre des médecins, investi à cet effet d’un pouvoir réglementaire soumis au Conseil d’Etat. Il est périodiquement révisé, étant donné qu’il doit être conforme à la loi.

'''Sanctions disciplinaires'''

Les sanctions encourues sont l’avertissement, le blâme, l’interdiction temporaire d’exercer des fonctions rémunérées par l’Etat ou les collectivités publiques, l’interdiction temporaire d’exercice (pour trois ans au maximum) ou la radiation du tableau de l’Ordre.

Les interdictions d’exercice temporaires peuvent être assorties d’un sursis (partiel ou total), révocable en cas de commission d’une nouvelle faute disciplinaire dans les cinq ans qui suivent. En cas de radiation, l’intéressé peut demander son relèvement au bout de trois ans. En cas de refus, il doit attendre trois ans pour en faire éventuellement à nouveau la demande.

'''Mise en œuvre de la responsabilité disciplinaire'''

'''Juridictions'''

Les juridictions compétentes sont la chambre disciplinaire du conseil régional de l’Ordre et la chambre disciplinaire du conseil national de l’Ordre en appel. Un pouvoir en cassation peut être formé devant le Conseil d’Etat.

'''Saisine'''

Peuvent saisir la chambre disciplinaire du conseil régional de l’Ordre pour les médecins libéraux un conseil départemental de l’Ordre, le conseil national de l’Ordre, un médecin, un syndicat de médecins, le directeur de l’Agence régionale de la santé, le préfet, le procureur de la République et le ministre en charge de la santé.

Pour les médecins du secteur public hospitalier, le pouvoir de saisine est limité au conseil départemental de l’Ordre, au conseil national de l’Ordre, au directeur de l’Agence régionale de la santé, au préfet, au procureur de la République et au ministre en charge de la santé.

Une plainte contre un médecin libéral ou hospitalier émanant d’un patient doit être transmise au conseil départemental de l’Ordre, qui a l’obligation de tenter une conciliation.

En cas d’échec, le conseil départemental de l’Ordre a l’obligation de transmettre la plainte à la chambre disciplinaire du conseil régional de l’Ordre.

'''Procédure'''

Le patient est l’une des parties à l’instance, il peut donc exercer des voies de recours (appel, pourvoi en cassation) et peut être accompagné d’un avocat. Le médecin, quant à lui, peut être assisté devant la juridiction par un avocat du barreau ou un confrère. La procédure devant les juridictions de l’Ordre est contradictoire ; l’audience est publique",False
5,OIC-005-06-A,"Dans le contexte médical, la responsabilité sans faute se caractérise par :",Cette question évalue la compréhension de la définition de la responsabilité sans faute en médecine.,L'existence d'une faute professionnelle prouvée.,Incorrecte. La responsabilité sans faute implique l'absence de faute prouvée.,La survenue d'un dommage lié aux soins sans manquement aux règles professionnelles ou scientifiques.,Correcte. C'est la définition précise de la responsabilité sans faute.,La présence d'une erreur médicale avérée.,Incorrecte. La responsabilité sans faute exclut la présence d'une erreur médicale.,Le manquement à une obligation de sécurité envers le patient.,"Incorrecte. La responsabilité sans faute ne repose pas sur un manquement à une obligation de sécurité, mais sur la survenue d'un dommage malgré l'absence de faute.",b,"{{objectif de connaissance
|Identifiant=OIC-005-06-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité sans faute
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=6}}

Dans le cas d'un dommage lié au soins mais survenu sans manquement aux règles professionnelles ou scientifiques, ni erreur, on parle de responsabilité sans faute.

Le législateur a reconnu des systèmes d’indemnisation pour lesquels la responsabilité peut être engagée à partir d’un autre fait générateur que la faute prouvée. C’est le cas de la survenue d’une infection nosocomiale.",False
6,OIC-005-07-A,"Selon la loi du 4 mars 2002, en quoi consiste la faute médicale?",Cette question évalue la compréhension de la définition de la faute médicale dans le contexte de la responsabilité médicale.,Une violation des connaissances médicales avérées ou des données acquises de la science.,Cette option correspond à la définition de la faute technique.,Un défaut d'information ne permettant pas un consentement libre et éclairé.,Cette option correspond à une violation du devoir d'humanisme.,Le défaut d'un produit de santé considéré comme défectueux.,Cette option correspond à un autre type de faute pouvant entraîner une responsabilité médicale.,L'absence de preuve d'atteinte à un droit du patient.,"Cette option est incorrecte, la faute doit être prouvée pour qu'il y ait responsabilité médicale.",a,"{{objectif de connaissance
|Identifiant=OIC-005-07-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la faute
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=7}}

Depuis la loi du 4 mars 2002 ont été substitués aux obligations professionnelles du médecin les droits du patient légalement consacrés. Un patient peut se prévaloir d’une atteinte à l’un de ses droits pour rechercher la responsabilité d’un médecin ou d’un établissement de santé. Il lui incombe cependant de prouver la faute. L’article L.1142-1 du Code de la santé publique stipule que les professionnels et établissements de santé ne sont responsables des conséquences dommageables d’actes de prévention, de prévention ou de soins qu’en cas de faute.

'''Droits du patient'''

L’atteinte de l’un de ces droits peut constituer un fait générateur de responsabilité médicale pour faute :

- droit à la protection de la santé ;

- droit au respect de la dignité ;

- droit à ne pas subir de discrimination dans l’accès à la prévention ou aux soins ;

- droit au respect de la vie privée et au secret des informations ;

- droit de recevoir les traitements et les soins les plus appropriés et de bénéficier des thérapeutiques dont l’efficacité est reconnue et qui garantissent la meilleure sécurité sanitaire et le meilleur apaisement possible de la souffrance au regard des connaissances médicales avérées ;

- droit de ne pas subir des actes témoignant d’une obstination déraisonnable ;

- droit à une sédation profonde et continue provoquant une altération de la conscience maintenue jusqu’au décès ;

- droit de recevoir des traitements et des soins visant à soulager la souffrance ;

- droit d’accéder à des soins palliatifs et à un accompagnement ;

- droit d’être informé sur son état de santé ;

-droit à une information sur les frais auxquels l’usager pourrait être exposé à l’occasion d’activités de prévention, de diagnostic et de soins ;

- droit de refuser ou de ne pas recevoir un traitement


Le fait générateur de responsabilité doit donc être une faute prouvée. Cette faute peut revêtir différentes formes et l’on distingue habituellement :

- la faute technique, qui consiste en une violation des connaissances médicales avérées ou des données acquises de la science. Ces connaissances médicales avérées constituent un standard technique auquel le juge se réfère, et peuvent être définies en référence à la littérature scientifique médicale ainsi qu’aux recommandations de bonnes pratiques. Le juge devra se référer aux connaissances médicales avérées au moment de l’acte médical litigieux ;

- la violation d’un devoir d’humanisme, qui renvoie à la dimension « humaine » de la pratique médicale, et peut notamment résulter de l’atteinte au secret professionnel ou d’un défaut d’information ne permettant pas un consentement libre et éclairé.

Dans certains cas, le fait générateur peut prendre d’autres formes : il peut s’agir du défaut d’un produit de santé, le produit étant considéré comme défectueux lorsqu’il n’offre pas la sécurité à laquelle on peut légitimement s’attendre.",False
7,OIC-005-09-A,Quelle est la définition d'un accident médical ?,Cette question évalue la compréhension de la définition d'un accident médical.,Un effet secondaire indésirable d'un traitement médical.,"C'est la définition d'une affection iatrogène, pas d'un accident médical.","Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui entraîne un dommage anormal.",C'est la définition correcte d'un accident médical.,Une erreur de diagnostic ou de traitement commise par un professionnel de santé.,"Ceci décrit une erreur médicale, pas nécessairement un accident médical. Un accident médical peut survenir même sans erreur.",Une infection contractée dans un établissement de santé.,"Ceci décrit une infection nosocomiale, pas un accident médical.",b,"{{objectif de connaissance
|Identifiant=OIC-005-09-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’accident médical et de l’affection iatrogène
|Description=None
|Rubrique=Définition
|Contributeurs=Patrice François
|Ordre=9}}

L’accident médical désigne un événement indésirable survenu au cours d’un acte de soin, de prévention ou de diagnostic. Cet accident entraîne un dommage anormal au regard de l’évolution prévisible de l'état de santé. Il peut s’être produit dans n’importe quel lieu de soins : un établissement de santé, public ou privé, un cabinet d’un professionnel de santé exerçant en libéral, un laboratoire d’analyses médicales, de radiologie, une pharmacie, etc. Un accident médical peut être causé par une erreur d’un professionnel de santé ou découler de soins conformes aux bonnes pratiques et s'appelle alors « l’aléa thérapeutique ».

Les affections iatrogènes désignent l’ensemble des effets néfastes qui peuvent être provoqués par un traitement ou un acte médical. On parle d’effets iatrogènes lorsque le traitement déclenche de nouveaux symptômes, distincts de ceux qu’il est censé soigner. L’effet iatrogène peut intervenir avec ou sans mauvais usage du médicament, que ce mauvais usage soit le fait d’un professionnel de santé ou du malade lui-même. Il ne faut donc pas confondre affection iatrogène et erreur médicale. L’affection iatrogène est une conséquence de la prise d’un médicament même si l’indication était correcte et la posologie bonne. Il est donc possible d’être victime d’une affection iatrogène en dehors de toute erreur ou faute du professionnel de santé.",False
8,OIC-005-10-A,Quelle est la définition d'une infection nosocomiale ?,Cette question évalue la définition d'une infection nosocomiale.,Une infection contractée avant l'admission à un établissement de santé.,Incorrecte. Les infections nosocomiales sont contractées pendant un séjour en établissement de santé.,"Une infection apparue après 48 heures d'hospitalisation, absente à l'admission.",Correcte. C'est la définition d'une infection nosocomiale.,Une infection contractée lors d'une consultation externe.,Incorrecte. Les infections nosocomiales sont liées à un séjour en établissement de santé.,Une infection contractée par un personnel de santé dans un établissement de santé.,"Incorrecte.  L'infection nosocomiale concerne les patients, pas nécessairement le personnel.",b,"{{objectif de connaissance
|Identifiant=OIC-005-10-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’infection nosocomiale
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=10}}

Les infections nosocomiales sont les infections contractées au cours d’un séjour dans un établissement de santé (hôpital, clinique…). Elle est aussi appelée infection associée aux soins. Ceci veut dire que ces infections sont absentes au moment de l’admission du patient dans l’établissement. Cependant, si l’état infectieux du patient à l’admission est inconnu, l’infection est généralement considérée comme nosocomiale si elle apparaît après 48 heures d’hospitalisation. Si elle apparaît avant un tel délai, on considère en général qu’elle était en incubation lors de l’entrée dans l’établissement.",False
9,OIC-005-11-A,Définition de l'aléa thérapeutique :,Cette question évalue la compréhension de la définition de l'aléa thérapeutique.,Un événement indésirable dû à une erreur médicale.,Incorrecte : L'aléa thérapeutique se distingue des erreurs par son inévitabilité.,Un risque inhérent à l'acte médical qui peut être maîtrisé par le praticien.,Incorrecte : L'aléa thérapeutique est un risque qui ne pouvait être maîtrisé.,Un événement indésirable survenu malgré une action de soins conforme et sans faute.,Correcte : L'aléa thérapeutique est un événement indésirable lié à un risque inhérent à l'action de soins.,Une infection apparue après une hospitalisation et absente à l'admission.,"Incorrecte :  L'infection nosocomiale est un type d'aléa thérapeutique, mais pas la définition complète.",c,"{{objectif de connaissance
|Identifiant=OIC-005-11-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’aléa thérapeutique
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=11}}

L’aléa thérapeutique se distingue des erreurs par son inévitabilité. C’est un événement indésirable dont la cause est une action de soins conforme et ne comportant pas d’erreur. Il est lié à la réalisation d’un risque inhérent à l’action de soins. On peut citer comme exemple la survenue d’un effet secondaire d’un médicament correctement prescrit et administré.  L’aléa thérapeutique est défini comme étant un accident médical (événement imprévu causant un dommage ayant un lien de causalité certain avec l’acte médical), une affection iatrogène (les soins délivrés au patient ont causé le dommage) ou une infection nosocomiale (l’infection apparaît après une hospitalisation et était absente le jour de l’admission) qui est survenue sans responsabilité des professionnels de santé ou de l’établissement de santé. D’après la jurisprudence, l’aléa thérapeutique consiste dans « la survenance, en dehors de toute faute du praticien, d’un risque accidentel inhérent à l’acte médical et qui ne pouvait être maîtrisé ».  Tout risque inhérent à l’acte de soin, de diagnostic ou de prévention peut constituer un aléa thérapeutique.",False
